epoch,accuracy,loss,val_accuracy,val_loss
0,0.7944596409797668,0.4266471862792969,0.8142856955528259,0.5295073986053467
1,0.9350205063819885,0.17923668026924133,0.9928571581840515,0.03251711651682854
2,0.9593023061752319,0.12213971465826035,0.9928571581840515,0.023555394262075424
3,0.9777701497077942,0.07005930691957474,1.0,0.01111890934407711
4,0.9876881241798401,0.04526148736476898,0.9952380657196045,0.01356232725083828
5,0.9928180575370789,0.036846112459897995,0.9976190328598022,0.003998258151113987
6,0.9931600689888,0.02344386838376522,0.9928571581840515,0.020442835986614227
7,0.9890561103820801,0.033160965889692307,0.9952380657196045,0.015082545578479767
8,0.9883720874786377,0.0405682772397995,1.0,0.002208428457379341
9,0.9965800046920776,0.010578853078186512,0.9976190328598022,0.007235155440866947
10,0.9962380528450012,0.010034487582743168,1.0,0.002930643502622843
11,0.9948700666427612,0.01864747889339924,0.9976190328598022,0.007307345513254404
